OfferID,Title,Slug,Area,Rooms,Date,Location,Price
7966006,Apartament 2 Camere | Hils Pallady | Loc parcare | Centrala | Balcon,apartament-2-camere-hils-pallady-loc-parcare-centrala-balcon-IDxqjY,50.0,TWO,2023-09-19 15:51:15,Theodor Pallady| Sectorul 3| Bucuresti,500
7966004,Cismigiu | 3 Camere | 78 mp |  Centrala Proprie,cismigiu-3-camere-78-mp-centrala-proprie-IDxqjV,78.0,THREE,2023-09-19 15:51:14,Cismigiu| Sectorul 1| Bucuresti,650
7966005,Lujerului I 2 Camere I Decomandat I Balcon,lujerului-i-2-camere-i-decomandat-i-balcon-IDxqjX,40.0,TWO,2023-09-19 15:51:14,Militari| Sectorul 6| Bucuresti,330
7966001,Apartament 2 camere Nusco Promenada Nemobilat Nou,apartament-2-camere-nusco-promenada-nemobilat-nou-IDxqjT,65.0,TWO,2023-09-19 15:50:47,Pipera| Sectorul 2| Bucuresti,550
7966000,2 Camere | Belvedere Residence - Pipera | Centrala | Pet  Friendly | P,2-camere-belvedere-residence-pipera-centrala-pet-friendly-p-IDxqjS,50.0,TWO,2023-09-19 15:50:47,Pipera| Sectorul 2| Bucuresti,700
7965998,Garsoniera de inchiriat Berceni Aparatorii patriei,garsoniera-de-inchiriat-berceni-aparatorii-patriei-IDxqjQ,30.0,ONE,2023-09-19 15:50:35,Berceni| Sectorul 4| Bucuresti,350
7965994,High Class Residence | Garsoniera | Centrala | Balcon,high-class-residence-garsoniera-centrala-balcon-IDxqjM,36.0,ONE,2023-09-19 15:50:31,Titan| Sectorul 3| Bucuresti,300
7965989,2 camere | Grand Arena Mall | centrala proprie | balcon |,2-camere-grand-arena-mall-centrala-proprie-balcon-IDxqjH,50.0,TWO,2023-09-19 15:50:16,Berceni| Sectorul 4| Bucuresti,370
7965983,Floreasca | Dorobanti | 2 Camere | Zona Verde | 50MP | Semidecomandat,floreasca-dorobanti-2-camere-zona-verde-50mp-semidecomandat-IDxqjB,50.0,TWO,2023-09-19 15:49:40,Floreasca| Sectorul 2| Bucuresti,350
7965980,2 Camere | Tineretului | Bloc nou | Centrala Proprie | Parcare,2-camere-tineretului-bloc-nou-centrala-proprie-parcare-IDxqjy,60.0,TWO,2023-09-19 15:49:28,Carol| Sectorul 4| Bucuresti,650
7965978,2 Camere | Arcul De Triumf-Herastrau | Balcon |  Renovat | Parc,2-camere-arcul-de-triumf-herastrau-balcon-renovat-parc-IDxqjv,55.0,TWO,2023-09-19 15:49:26,Aviatorilor| Sectorul 1| Bucuresti,580
7965974,Baneasa | 2 Camere | Centrala | Loc de Parcare | Bloc Nou,baneasa-2-camere-centrala-loc-de-parcare-bloc-nou-IDxqjs,58.0,TWO,2023-09-19 15:49:10,Baneasa| Sectorul 1| Bucuresti,700
7965973,Garsoniera / Iancului / Mobilata,garsoniera-iancului-mobilata-IDxqjr,35.0,ONE,2023-09-19 15:49:10,Mosilor| Sectorul 2| Bucuresti,370
7965966,Stefan cel Mare | Studio | Metrou Obor,stefan-cel-mare-studio-metrou-obor-IDxqjk,36.0,ONE,2023-09-19 15:48:55,Obor| Sectorul 2| Bucuresti,340
7965964,Brancoveanu | 3 camere | Etaj 1,brancoveanu-3-camere-etaj-1-IDxqji,50.0,THREE,2023-09-19 15:48:43,Berceni| Sectorul 4| Bucuresti,400
7965965,Eroii Revolutiei | 2 Camere | 51 mp | Boiler,eroii-revolutiei-2-camere-51-mp-boiler-IDxqjj,51.0,TWO,2023-09-19 15:48:43,Sectorul 4| Bucuresti,450
7965961,2 camere | Grand Arena Mall | Berceni | Metrou | Boc izolat |,2-camere-grand-arena-mall-berceni-metrou-boc-izolat-IDxqjf,50.0,TWO,2023-09-19 15:48:16,Aparatorii Patriei| Sectorul 4| Bucuresti,400
7965957,Apartament Floreasca | Aviatiei Tower | Loc de parcare,apartament-floreasca-aviatiei-tower-loc-de-parcare-IDxqjb,65.0,TWO,2023-09-19 15:47:31,Pipera| Sectorul 2| Bucuresti,1200
7965939,Apartament 3 camere Aviatiei,apartament-3-camere-aviatiei-IDxqiT,82.0,THREE,2023-09-19 15:43:24,Baneasa| Sectorul 1| Bucuresti,750
7965934,Apartament 2 camere Eroilor Cismigiu - Stirbei Voda,apartament-2-camere-eroilor-cismigiu-stirbei-voda-IDxqiO,64.0,TWO,2023-09-19 15:42:43,Stirbei| Sectorul 1| Bucuresti,530
7965917,Apartament 2 camere Complex Luxuria,apartament-2-camere-complex-luxuria-IDxqix,51.0,TWO,2023-09-19 15:40:18,Sectorul 1| Bucuresti,670
7965909,2 camere Unirii FANTANI / Parlament / Centru Vechi,2-camere-unirii-fantani-parlament-centru-vechi-IDxqip,67.0,TWO,2023-09-19 15:39:19,Centrul Civic| Sectorul 3| Bucuresti,500
7965899,"Inchiriez apartament 2 camere Stefan cel Mare, Lizeanu.",inchiriez-apartament-2-camere-stefan-cel-mare-lizeanu-IDxqif,56.0,TWO,2023-09-19 15:37:07,Sectorul 2| Bucuresti,500
7965886,Apartament Ultracentral Uniiversitate,apartament-ultracentral-uniiversitate-IDxqi2,45.0,TWO,2023-09-19 15:34:31,Cismigiu| Sectorul 1| Bucuresti,600
7965885,Garsoniera spatioasa cu centrala termica,garsoniera-spatioasa-cu-centrala-termica-IDxqi1,45.0,ONE,2023-09-19 15:34:07,Salaj| Sectorul 5| Bucuresti,320
7965860,3 Camere | Nicolae Grigorescu | Loc Parcare | Balcon | 2xAC,3-camere-nicolae-grigorescu-loc-parcare-balcon-2xac-IDxqhC,65.0,THREE,2023-09-19 15:29:55,Titan| Sectorul 3| Bucuresti,400
7965846,Apartament Modern 3 Camere Floreasca Residence Mall Promenada,apartament-modern-3-camere-floreasca-residence-mall-promenada-IDxqho,75.0,THREE,2023-09-19 15:26:38,Tei| Sectorul 2| Bucuresti,1000
7965816,Baneasa | Damaroaia |3 Camere | Centrala Proprie | Prima Inchiriere |,baneasa-damaroaia-3-camere-centrala-proprie-prima-inchiriere-IDxqgU,71.0,THREE,2023-09-19 15:21:51,Damaroaia| Sectorul 1| Bucuresti,750
7965814,"Garsoniera de inchiriat, Militari Residence, Mutare Imediata!",garsoniera-de-inchiriat-militari-residence-mutare-imediata-IDxqgS,31.0,ONE,2023-09-19 15:21:18,Militari| Sectorul 6| Bucuresti,1300
7965811,Inchiriere apartament 2 camere,inchiriere-apartament-2-camere-IDxqgP,52.0,TWO,2023-09-19 15:21:14,Titan| Sectorul 3| Bucuresti,2100
7965807,Apartament 2 camere | MetroCity | Mobilat si utilat | Centrala |Metrou,apartament-2-camere-metrocity-mobilat-si-utilat-centrala-metrou-IDxqgL,55.0,TWO,2023-09-19 15:20:58,13 Septembrie| Sectorul 5| Bucuresti,650
7965794,Inchiriz garsoniera Bulevardul Uverturii-Gorjului,inchiriz-garsoniera-bulevardul-uverturii-gorjului-IDxqgy,45.0,ONE,2023-09-19 15:18:32,Militari| Sectorul 6| Bucuresti,1800
7965791,Garsoniera de inchiriat,garsoniera-de-inchiriat-IDxqgw,32.0,ONE,2023-09-19 15:18:31,Titan| Sectorul 3| Bucuresti,360
7791017,"Prima inchiriere! Studio de lux, centrala proprie, parcare subterana",prima-inchiriere-studio-de-lux-centrala-proprie-parcare-subterana-IDvGNz,41.8,TWO,2023-09-19 15:15:51,Militari| Sectorul 6| Bucuresti,700
7965774,Proprietar. Inchiriere 3 camere termen lung +loc de parcare,proprietar-inchiriere-3-camere-termen-lung-loc-de-parcare-IDxqge,78.0,THREE,2023-09-19 15:15:03,Cismigiu| Sectorul 1| Bucuresti,530
7965742,Berceni Grand Arena Metalurgiei Aparatorii Patriei Nou Centrala Parcar,berceni-grand-arena-metalurgiei-aparatorii-patriei-nou-centrala-parcar-IDxqfI,65.0,TWO,2023-09-19 15:11:00,IMGB| Sectorul 4| Bucuresti,400
7965741,Belvedere Residence | 2 Camere | Centrala Proprie | Pet | 2 Balcoane |,belvedere-residence-2-camere-centrala-proprie-pet-2-balcoane-IDxqfH,53.0,TWO,2023-09-19 15:10:48,Pipera| Sectorul 2| Bucuresti,750
7965732,3 camere | Parcare | Baneasa | Balcon | Greenfield Residence | Centra,3-camere-parcare-baneasa-balcon-greenfield-residence-centra-IDxqfy,75.0,THREE,2023-09-19 15:09:31,Baneasa| Sectorul 1| Bucuresti,635
7965729,Apartament 2 camere | MetroCity | Mobilat si utilat | Centrala |Metrou,apartament-2-camere-metrocity-mobilat-si-utilat-centrala-metrou-IDxqfw,50.0,TWO,2023-09-19 15:09:01,13 Septembrie| Sectorul 5| Bucuresti,600
7965722,3 Camere Arcul de Triumf | Parcare Subterana,3-camere-arcul-de-triumf-parcare-subterana-IDxqfo,108.0,THREE,2023-09-19 15:08:10,Domenii| Sectorul 1| Bucuresti,1550
7965716,Apartament 2 camere Baba Novac,apartament-2-camere-baba-novac-IDxqfi,56.0,TWO,2023-09-19 15:06:37,Titan| Sectorul 3| Bucuresti,500
7965713,Închiriere apartament 2 camere Bd. Mihail Kogălniceanu Sector 5,nchiriere-apartament-2-camere-bd-mihail-koglniceanu-sector-5-IDxqff,43.0,TWO,2023-09-19 15:06:00,Centrul Civic| Sectorul 5| Bucuresti,450
7965705,2 cam SEBASTIAN parc - 13 Septembrie,2-cam-sebastian-parc-13-septembrie-IDxqf7,60.0,TWO,2023-09-19 15:04:14,Rahova| Sectorul 5| Bucuresti,380
7965699,De inchiriat apartament 2 camere Calea Dorobanti 110,de-inchiriat-apartament-2-camere-calea-dorobanti-110-IDxqf1,46.0,TWO,2023-09-19 15:03:28,Dorobanti| Sectorul 1| Bucuresti,699
7965697,Garsoniera Aleea Dreptatii nr 5 Renovata aproape Lujerului,garsoniera-aleea-dreptatii-nr-5-renovata-aproape-lujerului-IDxqeZ,42.0,ONE,2023-09-19 15:02:56,Militari| Sectorul 6| Bucuresti,350
7965691,Ap 2 camere | Dr. Taberei | Prelungirea Ghencea | Metrou Raul Doamnei,ap-2-camere-dr-taberei-prelungirea-ghencea-metrou-raul-doamnei-IDxqeT,61.0,TWO,2023-09-19 15:01:52,Drumul Taberei| Sectorul 6| Bucuresti,500
7965684,2 CAMERE | EMINESCU | MODERN,2-camere-eminescu-modern-IDxqeM,60.0,TWO,2023-09-19 14:59:36,Eminescu| Sectorul 2| Bucuresti,600
7965683,Inchiriere 3 camere Matei Basarab,inchiriere-3-camere-matei-basarab-IDxqeL,85.0,THREE,2023-09-19 14:59:25,Cismigiu| Sectorul 1| Bucuresti,600
7965679,Apartament 2 Camere | Drumul Taberei | Zona Favorit,apartament-2-camere-drumul-taberei-zona-favorit-IDxqeH,48.0,TWO,2023-09-19 14:57:51,Militari| Sectorul 6| Bucuresti,350
5961324,Inchiriere apartament 2 camere - Lujerului (langa plaza mall),inchiriere-apartament-2-camere-lujerului-langa-plaza-mall-IDp0Oo,56.0,TWO,2023-09-19 14:57:17,Militari| Sectorul 6| Bucuresti,620
7965675,Apartament Floreasca,apartament-floreasca-IDxqeD,40.0,TWO,2023-09-19 14:57:14,Floreasca| Sectorul 2| Bucuresti,550
7965674,Apartament 2 camere | Belvedere | Incalzire in pardoseala,apartament-2-camere-belvedere-incalzire-in-pardoseala-IDxqeC,50.0,TWO,2023-09-19 14:56:50,Pipera| Sectorul 2| Bucuresti,660
7965669,Dristor | Garsoniera | Mobilata | Utilata | 10 min metrou,dristor-garsoniera-mobilata-utilata-10-min-metrou-IDxqex,42.0,ONE,2023-09-19 14:55:17,Decebal| Sectorul 3| Bucuresti,300
6197578,proprietar inchiriez garsoniera in sector 4,proprietar-inchiriez-garsoniera-in-sector-4-IDq0gV,30.0,ONE,2023-09-19 14:47:02,Berceni| Sectorul 4| Bucuresti,240
7965617,Anunturi diverse,anunturi-diverse-IDxqdH,60.0,THREE,2023-09-19 14:45:01,Titan| Sectorul 3| Bucuresti,1500
7965611,Apartament modern cu 3 camere si vedere spre lac,apartament-modern-cu-3-camere-si-vedere-spre-lac-IDxqdB,140.0,THREE,2023-09-19 14:43:42,Tei| Sectorul 2| Bucuresti,2500
7965608,"Închiriere garsonieră cu parcare, Parklake Mall - Dristor",nchiriere-garsonier-cu-parcare-parklake-mall-dristor-IDxqdy,32.0,ONE,2023-09-19 14:42:36,Titan| Sectorul 3| Bucuresti,300
7965606,Apartament 2 camere | Belvedere | Parcare subterana | PET Friendly,apartament-2-camere-belvedere-parcare-subterana-pet-friendly-IDxqdv,50.0,TWO,2023-09-19 14:42:35,Pipera| Sectorul 2| Bucuresti,700
7965556,Drumul Taberei Scoala Sf Andrei!,drumul-taberei-scoala-sf-andrei-IDxqcI,65.0,THREE,2023-09-19 14:34:39,Drumul Taberei| Sectorul 6| Bucuresti,600
7965542,"Apartament generos cu 3 camere, 2 bai | garaj |  terasa",apartament-generos-cu-3-camere-2-bai-garaj-terasa-IDxqcu,118.0,THREE,2023-09-19 14:31:21,Baneasa| Sectorul 1| Bucuresti,1900
7965533,Garsoniera open space Quadra2 de închiriat,garsoniera-open-space-quadra2-de-nchiriat-IDxqcl,30.0,ONE,2023-09-19 14:30:38,Militari| Sectorul 6| Bucuresti,330
7965434,Barbu Vacarescu/Aviatiei/Belvedere Residence cu loc de parcare,barbu-vacarescu-aviatiei-belvedere-residence-cu-loc-de-parcare-IDxqaK,50.0,TWO,2023-09-19 14:30:35,Pipera| Sectorul 2| Bucuresti,700
7965525,Garsoniera de inchiriat,garsoniera-de-inchiriat-IDxqcd,40.0,ONE,2023-09-19 14:28:41,Militari| Sectorul 6| Bucuresti,370
7965516,"Garsoniera LUX, in zona Piata Romana",garsoniera-lux-in-zona-piata-romana-IDxqc4,38.0,ONE,2023-09-19 14:26:07,Piata Romana| Sectorul 1| Bucuresti,420
7965505,Apartament 2 camere bloc nou Exigent Plaza Residence Centrala Lujerulu,apartament-2-camere-bloc-nou-exigent-plaza-residence-centrala-lujerulu-IDxqbT,65.0,TWO,2023-09-19 14:24:22,Militari| Sectorul 6| Bucuresti,600
7965501,"Inchiriere apartament 2 camere, Camil Ressu, zona parc IOR",inchiriere-apartament-2-camere-camil-ressu-zona-parc-ior-IDxqbP,50.0,TWO,2023-09-19 14:23:46,Titan| Sectorul 3| Bucuresti,420
7965497,Apartament de inchiriat 2 camere,apartament-de-inchiriat-2-camere-IDxqbL,55.0,TWO,2023-09-19 14:23:11,Berceni| Sectorul 4| Bucuresti,400
4514647,2 camere / 60 mp / Modern - Drumul Taberei (Proprietar),2-camere-60-mp-modern-drumul-taberei-proprietar-IDiVsT,60.0,TWO,2023-09-19 14:21:35,Militari| Sectorul 6| Bucuresti,550
7965493,Garsoniera | Berceni - Brancoveanu | AC | Balcon | Boiler,garsoniera-berceni-brancoveanu-ac-balcon-boiler-IDxqbH,30.0,ONE,2023-09-19 14:21:30,Berceni| Sectorul 4| Bucuresti,330
7965490,"Barbu Vacarescu, bloc nou, parcare, Hotel Caro",barbu-vacarescu-bloc-nou-parcare-hotel-caro-IDxqbE,93.0,TWO,2023-09-19 14:21:05,Pipera| Sectorul 2| Bucuresti,750
7965488,Închiriez garsoniera Pantelimon ( langa parcul Morarilor ),nchiriez-garsoniera-pantelimon-langa-parcul-morarilor-IDxqbC,24.0,ONE,2023-09-19 14:20:51,Sectorul 2| Bucuresti,1150
7406519,NOU! Apartament 3 Camere Baneasa | Complex The Ivy,nou-apartament-3-camere-baneasa-complex-the-ivy-IDw4LZ,83.0,THREE,2023-09-19 14:20:03,Baneasa| Sectorul 1| Bucuresti,1000
7965477,Obor | Garsoniera | Mobilat | Utilat | 10 min metrou,obor-garsoniera-mobilat-utilat-10-min-metrou-IDxqbr,28.0,ONE,2023-09-19 14:18:27,Mosilor| Sectorul 2| Bucuresti,350
7965467,Garsoniera de inchiriat zona Libertatii,garsoniera-de-inchiriat-zona-libertatii-IDxqbh,40.0,ONE,2023-09-19 14:15:55,Centrul Civic| Sectorul 5| Bucuresti,700
7965449,Ap 3 Cam | Unirii - Ultracentral | 5 min metrou,ap-3-cam-unirii-ultracentral-5-min-metrou-IDxqaZ,88.0,THREE,2023-09-19 14:13:16,Centrul Civic| Sectorul 3| Bucuresti,650
7965444,4 Camere Soseaua Nordului Herastrau Aviatiei Parcare Terasa,4-camere-soseaua-nordului-herastrau-aviatiei-parcare-terasa-IDxqaU,156.0,FOUR,2023-09-19 14:12:43,Herastrau| Sectorul 1| Bucuresti,2000
7965442,Unirii | Biblioteca Nationala | 2 Camere | Centrala Proprie | Nemobila,unirii-biblioteca-nationala-2-camere-centrala-proprie-nemobila-IDxqaS,69.0,TWO,2023-09-19 14:12:11,Centrul Civic| Sectorul 3| Bucuresti,900
7965403,Inchiriez apartament 2 camere Bucuresti-Vitan,inchiriez-apartament-2-camere-bucuresti-vitan-IDxqaf,55.0,TWO,2023-09-19 14:07:23,Vitan| Sectorul 3| Bucuresti,350
7965400,DECEBAL - 2 CAMERE / LUX / PRIMA INCHIRIERE / BALCON,decebal-2-camere-lux-prima-inchiriere-balcon-IDxqac,75.0,TWO,2023-09-19 14:07:21,Centrul Civic| Sectorul 3| Bucuresti,1200
7965385,Berceni Grand Arena Metalurgiei Metrou Dimitrie Leonida Nou Lux Terasa,berceni-grand-arena-metalurgiei-metrou-dimitrie-leonida-nou-lux-terasa-IDxq9X,70.0,TWO,2023-09-19 14:01:35,IMGB| Sectorul 4| Bucuresti,550
7965364,Berceni 3` Metrou Eroii Revolutiei Parc Carol Tineretului Renovat,berceni-3-metrou-eroii-revolutiei-parc-carol-tineretului-renovat-IDxq9C,60.0,TWO,2023-09-19 13:56:51,Sectorul 4| Bucuresti,450
7965341,Unirii | Centrul Vechi | Lux | Metrou,unirii-centrul-vechi-lux-metrou-IDxq9f,46.0,TWO,2023-09-19 13:50:40,Centrul Istoric| Sectorul 3| Bucuresti,1000
7965316,Bercenu - Brancoveanu | 2 camere | Mobilat | Utilat,bercenu-brancoveanu-2-camere-mobilat-utilat-IDxq8Q,41.0,TWO,2023-09-19 13:42:04,Berceni| Sectorul 4| Bucuresti,350
7965305,Baneasa - Cartier Henri Coanda  | 2 Camere |  Centrala | Balcon | Parc,baneasa-cartier-henri-coanda-2-camere-centrala-balcon-parc-IDxq8F,78.0,TWO,2023-09-19 13:39:18,Henri Coanda| Sectorul 1| Bucuresti,600
